ParkName,Month,OvernightType,Number
Grand Teton,Aug,Misc Overnight Stay,0
Grand Teton,Aug,Concessioner Lodging,50126
Grand Teton,Aug,Concessioner Camping,89972
Grand Teton,Aug,Tent Campers,0
Grand Teton,Aug,RV Campers,0
Grand Teton,Aug,Backcountry Campers,14621
Grand Teton,Sep,Misc Overnight Stay,0
Grand Teton,Sep,Concessioner Lodging,38076
Grand Teton,Sep,Concessioner Camping,74348
Grand Teton,Sep,Tent Campers,0
Grand Teton,Sep,RV Campers,0
Grand Teton,Sep,Backcountry Campers,7229
Grand Teton,Oct,Misc Overnight Stay,0
Grand Teton,Oct,Concessioner Lodging,3127
Grand Teton,Oct,Concessioner Camping,11338
Grand Teton,Oct,Tent Campers,0
Grand Teton,Oct,RV Campers,0
Grand Teton,Oct,Backcountry Campers,624
Grand Teton,Nov,Misc Overnight Stay,0
Grand Teton,Nov,Concessioner Lodging,0
Grand Teton,Nov,Concessioner Camping,0
Grand Teton,Nov,Tent Campers,0
Grand Teton,Nov,RV Campers,0
Grand Teton,Nov,Backcountry Campers,0
Grand Teton,Dec,Misc Overnight Stay,0
Grand Teton,Dec,Concessioner Lodging,100
Grand Teton,Dec,Concessioner Camping,0
Grand Teton,Dec,Tent Campers,0
Grand Teton,Dec,RV Campers,0
Grand Teton,Dec,Backcountry Campers,10
Yosemite,Jan,Misc Overnight Stay,0
Yosemite,Jan,Concessioner Lodging,0
Yosemite,Jan,Concessioner Camping,0
Yosemite,Jan,Tent Campers,0
Yosemite,Jan,RV Campers,0
Yosemite,Jan,Backcountry Campers,0
Yosemite,Feb,Misc Overnight Stay,0
Yosemite,Feb,Concessioner Lodging,12662
Yosemite,Feb,Concessioner Camping,0
Yosemite,Feb,Tent Campers,1429
Yosemite,Feb,RV Campers,712
Yosemite,Feb,Backcountry Campers,350
Yosemite,Mar,Misc Overnight Stay,0
Yosemite,Mar,Concessioner Lodging,25321
Yosemite,Mar,Concessioner Camping,0
Yosemite,Mar,Tent Campers,2543
Yosemite,Mar,RV Campers,1620
Yosemite,Mar,Backcountry Campers,428
Yosemite,Apr,Misc Overnight Stay,0
Yosemite,Apr,Concessioner Lodging,47330
Yosemite,Apr,Concessioner Camping,0
Yosemite,Apr,Tent Campers,10245
Yosemite,Apr,RV Campers,11768
Yosemite,Apr,Backcountry Campers,1606
Yosemite,May,Misc Overnight Stay,0
Yosemite,May,Concessioner Lodging,52535
Yosemite,May,Concessioner Camping,0
Yosemite,May,Tent Campers,18551
Yosemite,May,RV Campers,10408
Yosemite,May,Backcountry Campers,10846
Yosemite,Jun,Misc Overnight Stay,411
Yosemite,Jun,Concessioner Lodging,83353
Yosemite,Jun,Concessioner Camping,0
Yosemite,Jun,Tent Campers,26205
Yosemite,Jun,RV Campers,17780
Yosemite,Jun,Backcountry Campers,38385
Yosemite,Jul,Misc Overnight Stay,567
Yosemite,Jul,Concessioner Lodging,69092
Yosemite,Jul,Concessioner Camping,0
Yosemite,Jul,Tent Campers,33774
Yosemite,Jul,RV Campers,28576
Yosemite,Jul,Backcountry Campers,52142
Yosemite,Aug,Misc Overnight Stay,1144
Yosemite,Aug,Concessioner Lodging,64878
Yosemite,Aug,Concessioner Camping,0
Yosemite,Aug,Tent Campers,37871
Yosemite,Aug,RV Campers,28396
Yosemite,Aug,Backcountry Campers,37842
Yosemite,Sep,Misc Overnight Stay,986
Yosemite,Sep,Concessioner Lodging,72034
Yosemite,Sep,Concessioner Camping,0
Yosemite,Sep,Tent Campers,26308
Yosemite,Sep,RV Campers,23096
Yosemite,Sep,Backcountry Campers,25463
Yosemite,Oct,Misc Overnight Stay,56
Yosemite,Oct,Concessioner Lodging,48002
Yosemite,Oct,Concessioner Camping,0
Yosemite,Oct,Tent Campers,17512
Yosemite,Oct,RV Campers,13584
Yosemite,Oct,Backcountry Campers,6934
Yosemite,Nov,Misc Overnight Stay,0
Yosemite,Nov,Concessioner Lodging,42394
Yosemite,Nov,Concessioner Camping,0
Yosemite,Nov,Tent Campers,8927
Yosemite,Nov,RV Campers,8712
Yosemite,Nov,Backcountry Campers,796
Yosemite,Dec,Misc Overnight Stay,0
Yosemite,Dec,Concessioner Lodging,32497
Yosemite,Dec,Concessioner Camping,0
Yosemite,Dec,Tent Campers,4814
Yosemite,Dec,RV Campers,4540
Yosemite,Dec,Backcountry Campers,47
Indiana Dunes,Jan,Misc Overnight Stay,0
Indiana Dunes,Jan,Concessioner Lodging,0
Indiana Dunes,Jan,Concessioner Camping,0
Indiana Dunes,Jan,Tent Campers,0
Indiana Dunes,Jan,RV Campers,0
Indiana Dunes,Jan,Backcountry Campers,0
Indiana Dunes,Feb,Misc Overnight Stay,0
Indiana Dunes,Feb,Concessioner Lodging,0
Indiana Dunes,Feb,Concessioner Camping,0
Indiana Dunes,Feb,Tent Campers,0
Indiana Dunes,Feb,RV Campers,0
Indiana Dunes,Feb,Backcountry Campers,0
Indiana Dunes,Mar,Misc Overnight Stay,0
Indiana Dunes,Mar,Concessioner Lodging,0
Indiana Dunes,Mar,Concessioner Camping,0
Indiana Dunes,Mar,Tent Campers,0
Indiana Dunes,Mar,RV Campers,0
Indiana Dunes,Mar,Backcountry Campers,0
Indiana Dunes,Apr,Misc Overnight Stay,0
Indiana Dunes,Apr,Concessioner Lodging,0
Indiana Dunes,Apr,Concessioner Camping,0
Indiana Dunes,Apr,Tent Campers,2691
Indiana Dunes,Apr,RV Campers,877
Indiana Dunes,Apr,Backcountry Campers,0
Indiana Dunes,May,Misc Overnight Stay,0
Indiana Dunes,May,Concessioner Lodging,0
Indiana Dunes,May,Concessioner Camping,0
Indiana Dunes,May,Tent Campers,2855
Indiana Dunes,May,RV Campers,1221
Indiana Dunes,May,Backcountry Campers,0
Indiana Dunes,Jun,Misc Overnight Stay,0
Indiana Dunes,Jun,Concessioner Lodging,0
Indiana Dunes,Jun,Concessioner Camping,0
Indiana Dunes,Jun,Tent Campers,3267
Indiana Dunes,Jun,RV Campers,1172
Indiana Dunes,Jun,Backcountry Campers,0
Indiana Dunes,Jul,Misc Overnight Stay,0
Indiana Dunes,Jul,Concessioner Lodging,0
Indiana Dunes,Jul,Concessioner Camping,0
Indiana Dunes,Jul,Tent Campers,2821
Indiana Dunes,Jul,RV Campers,1414
Indiana Dunes,Jul,Backcountry Campers,0
Indiana Dunes,Aug,Misc Overnight Stay,0
Indiana Dunes,Aug,Concessioner Lodging,0
Indiana Dunes,Aug,Concessioner Camping,0
Indiana Dunes,Aug,Tent Campers,4607
Indiana Dunes,Aug,RV Campers,1271
Indiana Dunes,Aug,Backcountry Campers,0
Indiana Dunes,Sep,Misc Overnight Stay,0
